Timepoint,Year,Period,Label,Value
0,1948,M01,1948 Jan,3.4
1,1948,M02,1948 Feb,3.8
2,1948,M03,1948 Mar,4.0
3,1948,M04,1948 Apr,3.9
4,1948,M05,1948 May,3.5
5,1948,M06,1948 Jun,3.6
6,1948,M07,1948 Jul,3.6
7,1948,M08,1948 Aug,3.9
8,1948,M09,1948 Sep,3.8
9,1948,M10,1948 Oct,3.7
10,1948,M11,1948 Nov,3.8
11,1948,M12,1948 Dec,4.0
12,1949,M01,1949 Jan,4.3
13,1949,M02,1949 Feb,4.7
14,1949,M03,1949 Mar,5.0
15,1949,M04,1949 Apr,5.3
16,1949,M05,1949 May,6.1
17,1949,M06,1949 Jun,6.2
18,1949,M07,1949 Jul,6.7
19,1949,M08,1949 Aug,6.8
20,1949,M09,1949 Sep,6.6
21,1949,M10,1949 Oct,7.9
22,1949,M11,1949 Nov,6.4
23,1949,M12,1949 Dec,6.6
24,1950,M01,1950 Jan,6.5
25,1950,M02,1950 Feb,6.4
26,1950,M03,1950 Mar,6.3
27,1950,M04,1950 Apr,5.8
28,1950,M05,1950 May,5.5
29,1950,M06,1950 Jun,5.4
30,1950,M07,1950 Jul,5.0
31,1950,M08,1950 Aug,4.5
32,1950,M09,1950 Sep,4.4
33,1950,M10,1950 Oct,4.2
34,1950,M11,1950 Nov,4.2
35,1950,M12,1950 Dec,4.3
36,1951,M01,1951 Jan,3.7
37,1951,M02,1951 Feb,3.4
38,1951,M03,1951 Mar,3.4
39,1951,M04,1951 Apr,3.1
40,1951,M05,1951 May,3.0
41,1951,M06,1951 Jun,3.2
42,1951,M07,1951 Jul,3.1
43,1951,M08,1951 Aug,3.1
44,1951,M09,1951 Sep,3.3
45,1951,M10,1951 Oct,3.5
46,1951,M11,1951 Nov,3.5
47,1951,M12,1951 Dec,3.1
48,1952,M01,1952 Jan,3.2
49,1952,M02,1952 Feb,3.1
50,1952,M03,1952 Mar,2.9
51,1952,M04,1952 Apr,2.9
52,1952,M05,1952 May,3.0
53,1952,M06,1952 Jun,3.0
54,1952,M07,1952 Jul,3.2
55,1952,M08,1952 Aug,3.4
56,1952,M09,1952 Sep,3.1
57,1952,M10,1952 Oct,3.0
58,1952,M11,1952 Nov,2.8
59,1952,M12,1952 Dec,2.7
60,1953,M01,1953 Jan,2.9
61,1953,M02,1953 Feb,2.6
62,1953,M03,1953 Mar,2.6
63,1953,M04,1953 Apr,2.7
64,1953,M05,1953 May,2.5
65,1953,M06,1953 Jun,2.5
66,1953,M07,1953 Jul,2.6
67,1953,M08,1953 Aug,2.7
68,1953,M09,1953 Sep,2.9
69,1953,M10,1953 Oct,3.1
70,1953,M11,1953 Nov,3.5
71,1953,M12,1953 Dec,4.5
72,1954,M01,1954 Jan,4.9
73,1954,M02,1954 Feb,5.2
74,1954,M03,1954 Mar,5.7
75,1954,M04,1954 Apr,5.9
76,1954,M05,1954 May,5.9
77,1954,M06,1954 Jun,5.6
78,1954,M07,1954 Jul,5.8
79,1954,M08,1954 Aug,6.0
80,1954,M09,1954 Sep,6.1
81,1954,M10,1954 Oct,5.7
82,1954,M11,1954 Nov,5.3
83,1954,M12,1954 Dec,5.0
84,1955,M01,1955 Jan,4.9
85,1955,M02,1955 Feb,4.7
86,1955,M03,1955 Mar,4.6
87,1955,M04,1955 Apr,4.7
88,1955,M05,1955 May,4.3
89,1955,M06,1955 Jun,4.2
90,1955,M07,1955 Jul,4.0
91,1955,M08,1955 Aug,4.2
92,1955,M09,1955 Sep,4.1
93,1955,M10,1955 Oct,4.3
94,1955,M11,1955 Nov,4.2
95,1955,M12,1955 Dec,4.2
96,1956,M01,1956 Jan,4.0
97,1956,M02,1956 Feb,3.9
98,1956,M03,1956 Mar,4.2
99,1956,M04,1956 Apr,4.0
100,1956,M05,1956 May,4.3
101,1956,M06,1956 Jun,4.3
102,1956,M07,1956 Jul,4.4
103,1956,M08,1956 Aug,4.1
104,1956,M09,1956 Sep,3.9
105,1956,M10,1956 Oct,3.9
106,1956,M11,1956 Nov,4.3
107,1956,M12,1956 Dec,4.2
108,1957,M01,1957 Jan,4.2
109,1957,M02,1957 Feb,3.9
110,1957,M03,1957 Mar,3.7
111,1957,M04,1957 Apr,3.9
112,1957,M05,1957 May,4.1
113,1957,M06,1957 Jun,4.3
114,1957,M07,1957 Jul,4.2
115,1957,M08,1957 Aug,4.1
116,1957,M09,1957 Sep,4.4
117,1957,M10,1957 Oct,4.5
118,1957,M11,1957 Nov,5.1
119,1957,M12,1957 Dec,5.2
120,1958,M01,1958 Jan,5.8
121,1958,M02,1958 Feb,6.4
122,1958,M03,1958 Mar,6.7
123,1958,M04,1958 Apr,7.4
124,1958,M05,1958 May,7.4
125,1958,M06,1958 Jun,7.3
126,1958,M07,1958 Jul,7.5
127,1958,M08,1958 Aug,7.4
128,1958,M09,1958 Sep,7.1
129,1958,M10,1958 Oct,6.7
130,1958,M11,1958 Nov,6.2
131,1958,M12,1958 Dec,6.2
132,1959,M01,1959 Jan,6.0
133,1959,M02,1959 Feb,5.9
134,1959,M03,1959 Mar,5.6
135,1959,M04,1959 Apr,5.2
136,1959,M05,1959 May,5.1
137,1959,M06,1959 Jun,5.0
138,1959,M07,1959 Jul,5.1
139,1959,M08,1959 Aug,5.2
140,1959,M09,1959 Sep,5.5
141,1959,M10,1959 Oct,5.7
142,1959,M11,1959 Nov,5.8
143,1959,M12,1959 Dec,5.3
144,1960,M01,1960 Jan,5.2
145,1960,M02,1960 Feb,4.8
146,1960,M03,1960 Mar,5.4
147,1960,M04,1960 Apr,5.2
148,1960,M05,1960 May,5.1
149,1960,M06,1960 Jun,5.4
150,1960,M07,1960 Jul,5.5
151,1960,M08,1960 Aug,5.6
152,1960,M09,1960 Sep,5.5
153,1960,M10,1960 Oct,6.1
154,1960,M11,1960 Nov,6.1
155,1960,M12,1960 Dec,6.6
156,1961,M01,1961 Jan,6.6
157,1961,M02,1961 Feb,6.9
158,1961,M03,1961 Mar,6.9
159,1961,M04,1961 Apr,7.0
160,1961,M05,1961 May,7.1
161,1961,M06,1961 Jun,6.9
162,1961,M07,1961 Jul,7.0
163,1961,M08,1961 Aug,6.6
164,1961,M09,1961 Sep,6.7
165,1961,M10,1961 Oct,6.5
166,1961,M11,1961 Nov,6.1
167,1961,M12,1961 Dec,6.0
168,1962,M01,1962 Jan,5.8
169,1962,M02,1962 Feb,5.5
170,1962,M03,1962 Mar,5.6
171,1962,M04,1962 Apr,5.6
172,1962,M05,1962 May,5.5
173,1962,M06,1962 Jun,5.5
174,1962,M07,1962 Jul,5.4
175,1962,M08,1962 Aug,5.7
176,1962,M09,1962 Sep,5.6
177,1962,M10,1962 Oct,5.4
